title,link,original,sale,discount,currency,date,time
deponia doomsday,https://store.steampowered.com/app/421050/Deponia_Doomsday/?snr=1_7_7_2300_150_6,19.99,1.99,90,USD,2020-04-25,14:50:25.390429
shelter 2,https://store.steampowered.com/app/275100/Shelter_2/?snr=1_7_7_2300_150_6,14.99,3.74,75,USD,2020-04-25,14:50:25.391427
orwell: ignorance is strength,https://store.steampowered.com/app/633060/Orwell_Ignorance_is_Strength/?snr=1_7_7_2300_150_6,9.99,5.99,40,USD,2020-04-25,14:50:25.391427
tacoma,https://store.steampowered.com/app/343860/Tacoma/?snr=1_7_7_2300_150_6,19.99,9.99,50,USD,2020-04-25,14:50:25.392427
tannenberg,https://store.steampowered.com/app/633460/Tannenberg/?snr=1_7_7_2300_150_6,19.99,9.00,55,USD,2020-04-25,14:50:25.393417
gone home,https://store.steampowered.com/app/232430/Gone_Home/?snr=1_7_7_2300_150_6,14.99,7.49,50,USD,2020-04-25,14:50:25.393417
x-com: complete pack,https://store.steampowered.com/sub/964/?snr=1_7_7_2300_150_6,14.99,3.74,75,USD,2020-04-25,14:50:25.394426
icey,https://store.steampowered.com/app/553640/ICEY/?snr=1_7_7_2300_150_6,10.99,7.14,35,USD,2020-04-25,14:50:25.394426
trine 3: the artifacts of power,https://store.steampowered.com/app/319910/Trine_3_The_Artifacts_of_Power/?snr=1_7_7_2300_150_6,21.99,5.49,75,USD,2020-04-25,14:50:25.395426
the longing,https://store.steampowered.com/app/893850/THE_LONGING/?snr=1_7_7_2300_150_6,14.99,13.49,10,USD,2020-04-25,14:50:25.396425
trine enchanted edition,https://store.steampowered.com/app/35700/Trine_Enchanted_Edition/?snr=1_7_7_2300_150_6,14.99,3.74,75,USD,2020-04-25,14:50:25.396425
call of juarez: gunslinger,https://store.steampowered.com/app/204450/Call_of_Juarez_Gunslinger/?snr=1_7_7_2300_150_6,14.99,5.99,60,USD,2020-04-25,14:50:25.397422
luna,https://store.steampowered.com/app/605770/Luna/?snr=1_7_7_2300_150_6,14.99,1.50,90,USD,2020-04-25,14:50:25.397422
pesterquest,https://store.steampowered.com/app/1144030/Pesterquest/?snr=1_7_7_2300_150_6,11.99,8.99,25,USD,2020-04-25,14:50:25.398425
dynasty warriors 9,https://store.steampowered.com/app/730310/DYNASTY_WARRIORS_9/?snr=1_7_7_2300_150_6,44.99,31.49,30,USD,2020-04-25,14:50:25.398425
granny simulator,https://store.steampowered.com/app/1053680/Granny_Simulator/?snr=1_7_7_2300_150_6,4.99,2.49,50,USD,2020-04-25,14:50:25.399413
itta,https://store.steampowered.com/app/775580/ITTA/?snr=1_7_7_2300_150_6,14.99,13.49,10,USD,2020-04-25,14:50:25.399413
daedalic - gigantic bundle,https://store.steampowered.com/sub/76471/?snr=1_7_7_2300_150_6,129.99,12.99,90,USD,2020-04-25,14:50:25.400423
project warlock,https://store.steampowered.com/app/893680/Project_Warlock/?snr=1_7_7_2300_150_6,12.00,4.80,60,USD,2020-04-25,14:50:25.400423
meadow,https://store.steampowered.com/app/486310/Meadow/?snr=1_7_7_2300_150_6,4.99,1.24,75,USD,2020-04-25,14:50:25.401413
mutazione,https://store.steampowered.com/app/1080750/Mutazione/?snr=1_7_7_2300_150_6,19.99,14.99,25,USD,2020-04-25,14:50:25.401413
god wars the complete legend,https://store.steampowered.com/app/1038810/GOD_WARS_The_Complete_Legend/?snr=1_7_7_2300_150_6,29.99,16.49,45,USD,2020-04-25,14:50:25.401413
